eng,nupe
Those who spend their substance in the cause of Allah and follow not up their gifts with reminders of their generosity or with injury-for them their reward is with their Lord on them shall be no fear nor shall they grieve,Za nazhie wu dukiyaazhi fi eko Soko na gancin ma elazhisa be eguny a gba yan na a wuna zumaa na ayibe laadayin dan eba Soko dansun ndondo maadan bea yina amaa nyin yangban ndodoa
O ye who believe! cancel not your charity by reminders of your generosity or by injury- like those who spend their substance to be seen of men but believe neither in Allah nor in the Last Day They are in parable like a hard barren rock on which is a little soil on it falls heavy rain which leaves it Just a bare stone They will be able to do nothing with aught they have earned And Allah guideth not those who reject faith,Ya ye nazhia imani jin na! Ega nyin swadaka yezhi ya be ezhisae be eguny ma ke za nae wu dukiya ebo eye zawangizhio na uma ya gaskiya be Sokoe be efo zoba yin a na kotociu uyi ke kotonciyan takunko na jikanna kpe eti ubo na eleko cie du kpe u ucia laazhe bolwoe Ade anfani ndondo yan woce naace naa Sokomae la bawu aya jamaa nazhi ejin kafirinci naa
And the likeness of those who spend their substance seeking to please Allah and to strengthen their souls is as a garden high and fertile heavy rain falls on it but makes it yield a double increase of harvest and if it receives not Heavy rain light moisture sufficeth it Allah seeth well whatever ye do,Kotonci ma yan za nazhie wu dukyaazhi ebo wiwayan yardajin yan Soko na be kagbo yan yangban atsozhi eba imanio na uyi ke kotonci yan batako ndoci na ta eti patio na eleko yan albarka cia du kpeu na Uci nyin anfani latizhi tinya-kpeba dozhi guba tobo otso eleko du fi wuna ka elekpa nae cin na wuna kunuke Soko mae cin yele be iri etun nazhi ye lo na
And the likeness of those who spend their substance seeking to please Allah and to strengthen their souls is as a garden high and fertile heavy rain falls on it but makes it yield a double increase of harvest and if it receives not Heavy rain light moisture sufficeth it Allah seeth well whatever ye do,Kotonci ma yan za nazhie wu dukyaazhi ebo wiwayan yardajin yan Soko na be kagbo yan yangban atsozhi eba imanio na uyi ke kotonci yan batako ndoci na ta eti patio na eleko yan albarka cia du kpeu na Uci nyin anfani latizhi tinya-kpeba dozhi guba tobo otso eleko du fi wuna ka elekpa nae cin na wuna kunuke Soko mae cin yele be iri etun nazhi ye lo na
Does any of you wish that he should have a garden with date-palms and vines and streams flowing underneath and all kinds of fruit while he is stricken with old age and his children are not strong enough to look after themselves- that it should be caught in a whirlwind with fire therein and be burnt up Thus doth Allah make clear to you His Signs that ye may consider,Kashi eza dan mini yebo nae wa gan wyunu yi bebatako yan donbinazhi to yinabizhi na manuwanzhie je fi tako ubo na yangici sunsun iri ndondo ma ashe u wyuntso ci bea kuku umayi be zuriyazhi nazhi laagboka na gancin efe ko ndoci na enafinin yinubo na cibea lati din na Ngba ade za na awa acin na Acinga ga Sokoe jin bayani yan ayauzhi ya ye yeo ujin wo be wunciny ye ga fe zanazhia kpa ye na
O ye who believe! Give of the good things which ye have honourably earned and of the fruits of the earth which We have produced for you and do not even aim at getting anything which is bad in order that out of it ye may give away something when ye yourselves would not receive it except with closed eyes And know that Allah is Free of all wants and worthy of all praise,Ya ye nazhia imani jin na! Efe wu mini dukiya wangiyezhio nazhi ye cewoa na to mini yan nazhi yi la tinya ya ye dagan kinbo na ye mae ga kpa lulo etun dede mini ubo ma ye mae ga fe wu yanna ka aga yaye yea gwoa na ma ko na kaye ga gwo ye ga eye findanna ma Yemae kpe wo kede Soko Etsu wadata uyio Etsu yebo ma uyio na
The Evil one threatens you with poverty and bids you to conduct unseemly Allah promiseth you His forgiveness and bounties And Allah careth for all and He knoweth all things,Shetan wyinejin ye alkawali yaji jin umae jinye umurni be lulo yan etun alfashae Soko mae jin ye alkawali yan etun gafara be falalae dagan eba ubo Sokoma Etsu bagwo uyio Etsu kpikpe uyio
He granteth wisdom to whom He pleaseth and he to whom wisdom is granted receiveth indeed a benefit overflowing but none will grasp the Message but men of understanding,Wyun ela hikima fahimta gaskiya a twarya ya za na ga ba una zandondo na ma aga hikima laaya na akika aza wuncin ya alherina dokun na A made za na akpaye naa sai de za nazhi gayi eza hankalizhi na
And whatever ye spend in charity or devotion be sure Allah knows it all But the wrong-doers have no helpers,Yandondo na ye ga wu mini dukiyaezhio na ba na wunagbagba da kan na koma emi yan alkawali ndoci na ye ga shena akika Soko yi be kpikpeu yin Azwalumizhi maade zanazhia jinataimako naa
If ye disclose acts of charity even so it is well but if ye conceal them and make them reach those really in need that is best for you It will remove from you some of your stains of evil And Allah is well acquainted with what ye do,Ye ga swadakazhi laatula to ugye sarauyin yema gauswo ye cia laaya talakazhi wucintso de alheri gan yaye Soko ma ga ndoncizhi mini zunubi yezhio fin ya Soko ma yi be kpikpe etun nazhi yelo na
It is not required of thee O Messenger to set them on the right path but Allah sets on the right path whom He pleaseth Whatever of good ye give benefits your own souls and ye shall only do so seeking the Face of Allah Whatever good ye give shall be rendered back to you and ye shall not Be dealt with unjustly,Eko kea udan egwa wyoboa ammaade Soko ajin ula za na ga bau na ake eko Yandondo na ma ye ga wu yan alheri na eti tacin yetso ye wu yao yandondo na ma ye ga wuna sai ebo wiwa yan yarda Soko bo ya wuo Yandondo na ye ga wu mini alherio na Soko ga laadau gunmi ya ye ama ajin ye zwaluncia
Charity is for those in need who in Allah´s cause are restricted from travel and cannot move about in the land seeking For trade or work the ignorant man thinks because of their modesty that they are free from want Thou shalt know them by their Unfailing mark They beg not importunately from all the sundry And whatever of good ye give be assured Allah knoweth it well,Efe wu dukiya ya talakazhi nazhia eyanzhi laakana ebo ezan naeda yankokari ta eti ekpa Sokona ade kagbo naalo bandondo wo be naa za na kpea na ga leaye wyun aye gan ko eyandecizhio ebo minia nae wan nao Wyoa kpeaye be alaamazhiy ejin zawangizhi bara wawuya yina yandondo na ye ga wu mini alherio na akika Soko yi be kpikpe uyin
Those who in charity spend of their goods by night and by day in secret and in public have their reward with their Lord on them shall be no fear nor shall they grieve,Za nazhie wu dukiya azhi fi eko Soko dan yeshio to igidi na to swiswoci to gbangba na to a yi be laada ayin dan eba Tsociabo dansun ndondo maadan beayina nyangban nyin ndondo maadan bea yina
Those who devour usury will not stand except as stand one whom the Evil one by his touch Hath driven to madness That is because they say Trade is like usury but Allah hath permitted trade and forbidden usury Those who after receiving direction from their Lord desist shall be pardoned for the past their case is for Allah to judge but those who repeat The offence are companions of the Fire They will abide therein for ever,Za nazhie gi ewo riba na yan naabe ta eti lisafio na a nakin efo alkiyami boa sai de kendoe zana efe shetanda zhe nakan cia togwa na kendoe wyun e nakin nana Wuncin mayi ebo na atsoe gan gan akika woce ke riba na uyio Sokoma awoce laazhe halali umaariba laazhe haramu Ebo acino zandondo na waazi ga beyau dagan eba Tsociubona Ucia egwalu laadan etun dedeo na Sokoa fa be natso -- gananina alamariuma danbe Sokoe zana ma gake dazhin lulo etun dede be nato za wuncinzhi ga yiegi mina zhio bagabo maafi tutun yino
Allah will deprive usury of all blessing but will give increase for deeds of charity For He loveth not creatures ungrateful and wicked,Sokoe la albarka wa ewo ribao umae la bibe albarka dan ewo swadaka zhio Soko mae wa zandondo na gae  jin kafirinci naa umae wa zana ejin lefi naa
Those who believe and do deeds of righteousness and establish regular prayers and regular charity will have their reward with their Lord on them shall be no fear nor shall they grieve,Akika za nazhia imani jin na aci kelo etun wangizhi na acia swallazhi kugikini na acia zakka dukiya azhi wa na ayi be laada ayin dan eba Tsucia bo dansun ndondo madan bea yina amaaleyangbannyin yea
O ye who believe! Fear Allah and give up what remains of your demand for usury if ye are indeed believers,Ya ye nazhia imani jin na! E sundan Soso ye maela egwa lue lae dan etun ndondo na ga ke yan riba na wun ayi Muminizhi ga yeyio na
If ye do it not Take notice of war from Allah and His Messenger But if ye turn back ye shall have your capital sums Deal not unjustly and ye shall not be dealt with unjustly,To kagan ye be lugwaa to ye kpe wo ke ekun danbo dagan eba Soko be Tuci uyin na Yee ma ga tuba jin yea egwa laasun Nna yan ewo yeyan asali ye ga jin zandondo gun mazandondoma uga jin ye gun ma
If ye do it not Take notice of war from Allah and His Messenger But if ye turn back ye shall have your capital sums Deal not unjustly and ye shall not be dealt with unjustly,To kagan ye be lugwaa to ye kpe wo ke ekun danbo dagan eba Soko be Tuci uyin na Yee ma ga tuba jin yea egwa laasun Nna yan ewo yeyan asali ye ga jin zandondo gun mazandondoma uga jin ye gun ma
If the debtor is in a difficulty grant him time Till it is easy for him to repay But if ye remit it by way of charity that is best for you if ye only knew,Za na la gbata na Uga bea zhe eza ezo eba gbata yao epata yau da lokaci na saukia be yau na ye ma gala jin swadaka yau wuncin de alheri gan ya ye ye ga kpekpe na
If the debtor is in a difficulty grant him time Till it is easy for him to repay But if ye remit it by way of charity that is best for you if ye only knew,Za na la gbata na Uga bea zhe eza ezo eba gbata yao epata yau da lokaci na saukia be yau na ye ma gala jin swadaka yau wuncin de alheri gan ya ye ye ga kpekpe na
And fear the Day when ye shall be brought back to Allah Then shall every soul be paid what it earned and none shall be dealt with unjustly,Ye mae sundsn efo nini kete na aga ye laazheban zhin eba Soko miniubo na Gancin aciga gbT wo ya rayindondo be iri woce na uga cena zando majina guna
O ye who believe! When ye deal with each other in transactions involving future obligations in a fixed period of time reduce them to writing Let a scribe write down faithfully as between the parties let not the scribe refuse to write as Allah Has taught him so let him write Let him who incurs the liability dictate but let him fear His Lord Allah and not diminish aught of what he owes If they party liable is mentally deficient or weak or unable Himself to dictate Let his guardian dictate faithfully and get two witnesses out of your own men and if there are not two men then a man and two women such as ye choose for witnesses so that if one of them errs the other can remind her The witnesses should not refuse when they are called on For evidence Disdain not to reduce to writing your contract for a future period whether it be small or big it is juster in the sight of Allah More suitable as evidence and more convenient to prevent doubts among yourselves but if it be a transaction which ye carry out on the spot among yourselves there is no blame on you if ye reduce it not to writing But take witness whenever ye make a commercial contract and let neither scribe nor witness suffer harm If ye do such harm it would be wickedness in you So fear Allah For it is Good that teaches you And Allah is well acquainted with all things If ye are on a journey and cannot find a scribe a pledge with possession may serve the purpose And if one of you deposits a thing on trust with another let the trustee faithfully discharge his trust and let him Fear his Lord conceal not evidence for whoever conceals it - his heart is tainted with sin And Allah knoweth all that ye do,Ya ye nazhia imani jin na! Ye ga be cia la gbata ya za yan dan da lokaci ndoci na yi kpikpeci na yeu ka za na ma ga kau nawyunu kau be adalinciy Za na maaka na uga navo ma wyunu kau kendoe Soko gala wuuna ulau ka acin Za na ma gbata tatiu bo na wyuntso ga tun gbatau yeo umausundan Soko nayi Tsocin na Wyunu ga ke yandondo minibo tukun ma Za na ma gbata ta tiubo na wunayi eza danyagi uyio ko maza gbogun ko ma wyuntso tunuye woa za na ga agikini waliy yau na wyunu tungbatau ye be adlinciy ye mae wa eri guba mini bagi yezhio kagan yebe de bagi gubaa to ewa bagi nini be yinzagi gubae mini zanazhi ye jin yeda be uyin yan erizhi na ebo ka bea batan zabaci tso a pa dozhi tukpa Erizhi maaga navoma kamina aga yia na ye mae ga bo be ki kae ma tetengi uyio ko wanciko yeu ka Dafona aga lacici na Wuncinzhi gayi adalinci eba Soko bo wuncin ma gboka gan eba erijino uma tsoba gan naala yeajin ke-lo-kezhina nao saide wunayi woce egwa be gwae tsakanieb
If ye are on a journey and cannot find a scribe a pledge with possession may serve the purpose And if one of you deposits a thing on trust with another Let the trustee Faithfully discharge His trust and let him fear his Lord Conceal not evidence for whoever conceals it- His heart is tainted with sin And Allah Knoweth all that ye do,Ye ma gaafe ta eti ezano ye ma de za naakanaa toyea yandoci laakpetso na kun yn la shishi na Ye ma ga aminci kunutswa amana umau sundan Soko nayi Tsocin na Ye mae ga swo eri ma zandondo na ga swou na za wuncina eti tacin u jin gun Soko ma yi be kpikpe etun nazhi yelo na
To Allah belongeth all that is in the heavens and on earth Whether ye show what is in your minds or conceal it Allah Calleth you to account for it He forgiveth whom He pleaseth and punisheth whom He pleaseth for Allah hath power over all things,Yan nazhi fi samazhio na to nazhi fi kinbo na Sokwuno ye ma ga yan nazhi fi yangban yezhiona tula ko ma ye ciu swo Soko wa dudugi uza ebo gbata woo gancin ucia fa be za na ga bau na za na ma ga bau na wyuna jinu azaba Soko ma de iko ta eti jijin yandondo
The Messenger believeth in what hath been revealed to him from his Lord as do the men of faith Each one of them believeth in Allah His angels His books and His messengers We make no distinction they say between one and another of His messengers And they say We hear and we obey We seek Thy forgiveness our Lord and to Thee is the end of all journeys,Tuci Soko wyuna imani jinbe yanna acin be ya udagan eba Tsocin bo na to muminizhi kpataa a imani jin be Sokoe be malaikazhi be litafiuzhiy be Tucinzhiy a ma gan Yi wo yima ga emi tu foro SokoTsociyi fa be yi yin eba wyo ma ga yi yio zheban zhino
On no soul doth Allah Place a burden greater than it can bear It gets every good that it earns and it suffers every ill that it earns Pray Our Lord! Condemn us not if we forget or fall into error our Lord! Lay not on us a burden Like that which Thou didst lay on those before us Our Lord! Lay not on us a burden greater than we have strength to bear Blot out our sins and grant us forgiveness Have mercy on us Thou art our Protector Help us against those who stand against faith,Soko mae la kpaka ata rayia sai natso ugaa lowo na egagba wangi ga jin tabata yan yan woce wangi nauce na egagba dede magajin tabbata yan yan woce dede nau ga ce na Tsociyi! Ga wan yi ma be iri lefi na yi gajin eti tanbao ko bicicino na  Ya wyoe Tsoci yi! Wyo mao ga la ekpinlu ta yi ma kendoe wyo la ta eti zanazhi shidzo nao ma Tsoci yi! Ga la yi da la kara na yi kun kagboa na ma Wyo mao fa be yi yin wyo jin yi gafara wyo mao gun yi ye wyo ga yi Ndakata yi yio ebo acin o jin yi taimako ta eti jamaa yan kafirizhio
 Ta-Ha,TWA HA
We have not sent down the Qur´an to thee to be an occasion for thy distress,Yi cin Alkuranu cin be ya wyoe ebo wyo debao jin wahala boa
But only as an admonition to those who fear Allah-,Sai de ebo ulaufe sinsantuu ya zandndo nagae sundan Soko na
A revelation from Him Who created the earth and the heavens on high,Acinu cin be dagan weba Etsu najin alitta yan kin be sanma nazhi yi elatucizhi nae
 Allah Most Gracious is firmly established on the throne of authority,Soko Etsu yegun wyunajin dai dai ta eti Al-arashio
 To Him belongs what is in the heavens and on earth and all between them and all beneath the soil,Wyun ga wun yannazhi fi sanmazhio to kin to yannazhi dan tacinabo nao To yannazhi fi tako yan kinbo na
 If thou pronounce the word aloud it is no matter for verily He knoweth what is secret and what is yet more hidden,Wyo ma ga la bere tu be egane to hakika Soko yibe kpikpe asiri zhi to yannazhi swo-gan wuncinzhi kpata na
 Allah! there is no god but He! To Him belong the most Beautiful Names,Soko ade Tsoci ndocia sai wyuny Uma yibe sunna wangi-wagizhi
Has the story of Moses reached thee,Ngba labari Annabi Musa be ya wyo yaani
Behold he saw a fire So he said to his family Tarry ye I perceive a fire perhaps I can bring you some burning brand therefrom or find some guidance at the fire,Kamina u taye le ena ya na ucia gan ya iyaliuzhi gan E fedun zhiabo hakika mi taye le ena ye mia tunbo ujin-wo mia be yaye be enacikarae koma miade bawu ndoci dagan eba ena wuncino
 But when he came to the fire a voice was heard ,O Moses!Gancin kamina u tun bauna aci yiu ye gan Ya wyoe Musa
Verily I am thy Lord! therefore in My presence put off thy shoes thou art in the sacred valley Tuwa,Hakika Miga yi Tsoci wyo-yo ebo acino a eda wyo wa hakika wyodan danna lilici yan kpanko Duwao
I have chosen thee listen then to the inspiration sent to theeMi ma wyo laafe eza tsitsaci Tuci Soko ebo acino shi tukpa ya yanna Yigaajin wahayiu ya wyoe na,
 Verily I am Allah There is no god but I So serve thou Me only and establish regular prayer for celebrating My praise,Hakika Mi Migayi ALLAHUSokoo ade Tsoci ndocia sai Mi ebo acino jin bauta ya mi wyo mao la sallao kuo gikini ebo pipa mi bo
Verily the Hour is coming - My design is to keep it hidden - for every soul to receive its reward by the measure of its Endeavour,Hakika Alkiyamia da be Mi ma kpa swiswou ebo ade baa la egagba yan rayi ndondoa yau be iri etun na uga lo na
Therefore let not such as believe not therein but follow their own lusts divert thee therefrom lest thou perish!,Ebo acino zana ya gaskiya beu yina naucia mitu etun yangbanu na ga lugwa u pan hankali wyo keyabo ma kacana wyo gaajin hallaka
 And what is that in the right hand O MosesKii ma yi wuncin na dan gwaalo wyo bo nao wyoe Musa,
 He said It is my rod on it I lean with it I beat down fodder for my flocks and in it I find other uses,Musa ci gan Tsunkun mi uyio na mie kpetso na mi maajin-nfe fini ya dabba mizhi beuyin mi mae wo bukata ndocizhi beuyin be
Allah said Throw it O Moses!,Soko ci gan Ciu cici Musa!
 He threw it and behold! It was a snake active in motion,Uciu ce cici edagao ma wunazhe ewa-ko ndoci nae dazan na
 Allah said Seize it and fear not We shall return it at once to its former condition,Ugan Agwa sunu wyo mao ga sundan ma Yi gau laa kezhe daa kendoe uyi- yan
Now draw thy hand close to thy side It shall come forth white and shining without harm or stain- as another Sign-,Wyo mao la egwa wyo yo okuofi lukontata wyo bo ugaa bokunyeyan-gun ndondo madanboa nana ma aya ndoci uyio kaa yin
 In order that We may show thee two of our Greater Signs,Nana mayi ebo YiI la yandociI wu wyoe mini aya wanciko-ko yan Yi zhio
 Go thou to Pharaoh for he has indeed transgressed all bounds,Fe lo eba Firauna hakika wyune gbin iyaka tu
Moses said O my Lord! expand me my breastMusa ci gan Tsoci! A yangban mi fe gwigwoci ya mi,
 Ease my task for me,Wyo mao jin saukio yamiodan alamari mibo
 And remove the impediment from my speech,Wyo mao la finfano lao dan ekpinlu yan bea yin naSurah  So they may understand what I sayEboajin fahimta egan mi na mi ga gan bea yin na
 And give me a Minister from my family,Wyo mao la wazirio ya mi dagan mini dangi mizhioSurah  Aaron my brotherwaa to Haruna na yi yegi mi na
 Add to my strength through himUu laufe kagbo ya alamari mi,
 And make him share my task,Wyo mao la wyuno lao pama be mi yin dan mini alamari mi bo
Ebo YiI deba-y-li wyoe sarauyin,
 And remember Thee without stint,Yi ma-y tun wyo-yi-ye sarauyin
For Thou art He that ever regardeth us,Hakika wyo afe Etsu nae cin yi le na
 Allah said Granted is thy prayer O Moses!,UganHakika yannazhi wyo ba kpaata na Sokoa gwo jin yao
And indeed We conferred a favour on thee another time before,Hakika ma Yi twarya alherizhi ya wyoe dan lokaci ndocizhiobe
 Behold! We sent to thy mother by inspiration the message,Kamina Yijin wahayi ya nna wyoe yannazhi -- yin Yia la jin wahayi yau na
 ´Throw the child into the chest and throw the chest into the river the river will cast him up on the bank and he will be taken up by one who is an enemy to Me and an enemy to him´ But I cast the garment of love over thee from Me and this in order that thou mayest be reared under Mine eye,A egi bobongi wuncin ce gun mini kpatio ye cie la wyune ce gun mini eduo edu ciu ce wyunu lo nuwan misun gancin makiri Mi to makiri wyuntso cia beu la Mi maa boye laayau dagan nko Mibo ma ala wyo-yaa kpa be eye ladan yan Mi yin
Behold! thy sister goeth forth and saith ´shall I show you one who will nurse and rear the child´ So We brought thee back to thy mother that her eye might be cooled and she should not grieve Then thou didst slay a man but We saved thee from trouble and We tried thee in various ways Then didst thou tarry a number of years with the people of Midian Then didst thou come hither as ordained ,O Moses!Kamina yegi wyoe fe dazan uci fe gan ganNgba yea lugwa Mi wueba lo eba zanaa kpau ya ye wangiinaa Gancin Yicia wyo lazhin eba nna wyo be ebo yangban wyunu ciuuta u mau ga nyin yangba maWyo ma jin sanadi tsutsu rayi ndoci Yi cia wyo wadzun dagan yangban nyin wuncino Yi ma ma wyo cinle be mimancinlezhi kakayin Gancin wyoci fedun eye na dakun na dan mini jamaa yan Madyanazhio gbaani wyoci dabe babo eti tsunwan yan na Mi kpa be wyo yin na Musa
 And I have prepared thee for Myself for service,Mi ma wyo tsa ya ti tacin Mi
 Go thou and thy brother with My Signs and slacken not either of you in keeping Me in remembrance,Fe lo to wyoe to yegi wyoe ye mae ga zhin zunma be yetun Mi yin ma
Go both of you to Pharaoh for he has indeed transgressed all bounds,Efe lo ebo Firauna zagubabae hakika wyuna gbin tu
 Go both of you to Pharaoh for he has indeed transgressed all bounds,Efe lo ebo Firauna zagubabae hakika wyuna gbin tu
But speak to him mildly perchance he may take warning or fear Allah,Ye mae gangan beuyin be bere didaciy ujin-wo be wunciny wyuna -- sinsantu ko ma wyuna sundan azabaSoko
 They Moses and Aaron said Our Lord! We fear lest he hasten with insolence against us or lest he transgress all bounds,Aci gan Tsoci yi! Hakika Yi ye de dansun ube ke fiyi ma ko ma ube gboti ka ugbin iyakatu be yi yin ma
He said Fear not for I am with you I hear and see everything,Soko ci gan E ga sundan ma hakika Mi dan ganni be ye yin Mie wo Mi mae le yandondo ye
So go ye both to him and say ´Verily we are messengers sent by thy Lord Send forth therefore the Children of Israel with us and afflict them not with a Sign indeed have we come from thy Lord! and peace to all who follow guidance!,Ebo acino efe lo bau ye cie ganu gan Hakika Tuci Tsoci wyo zhi yi yio ebo acino a Bani-Israilazhi ya yayi wyo mao ga jina azaba ma Hakika yi be be ya wyo be ayae dagan eba Tsoci wyo bo Aminci ma ugaajin tabbata ya zana ga mitu bawu na
´Verily it has been revealed to us that the Penalty awaits those who reject and turn away´,Hakika Yi ajin wahayi be yayi gan kede hakika azaba ugaajin tabbata ya zandondo na ga gaskiya yi ganmana na uci kezhea zunma zhetau na
When this message was delivered Pharaoh said Who then O Moses is the Lord of you two,UganZiima yi Tsoci ye yeo tso Musa
 When this message was delivered Pharaoh said Who then O Moses is the Lord of you twoUganZiima yi Tsoci ye yeo tso Musa,
He said Our Lord is He Who gave to each created thing its form and nature and further gave it guidance,Ugan Tsoci yi gayi Etsu na la yandondo ya alittau nao gancin uciu wu bao
Pharaoh said What then is the condition of previous generations,Firauna ci gan To gbani hali iri kicibo allumma yan mafari nazhi shidzo na dan-yninbo gbanio
He replied The knowledge of that is with my Lord duly recorded my Lord never errs nor forgets-Ugan,kpikpe wuncin eba Tsoci mi bo udano dan mini Litafi Lauhil mahfuz Tsoci mi mae gbinka danboa Umae battana
He Who has made for you the earth like a carpet spread out has enabled you to go about therein by roads and channels and has sent down water from the sky With it have We produced diverse pairs of plants each separate from the others,Etsu wuncin na ta kincici yaye parae na Ucia ekpazhi laadan nin yanubo yaye Uci du ele zhin dagan sanmao Yici la yangici sun-sunzhi iriirizhi tinya be nuwan wuncin-y
 Eat for yourselves and pasture your cattle verily in this are Signs for men endued with understanding,Yetso gi dagan miniubo ye mae kpa dabbayezhi Hakika mini wuncino ayazhi danbo ya zanazhi gayi eza hankali zhi na
From the earth did We create you and into it shall We return you and from it shall We bring you out once again,Dagan mini kinbo ga Yi jin alitta ye yeo miniubo kabario ga Yia kezhe la ye fi beo dagan miniubo ga Yia kezhe kuye tinya beo
And We showed Pharaoh all Our Signs but he did reject and refuse,Hakika ma Yi la aya Yi zhi wu Firauna yan baeni uciu yi ganmana u cia navo
He said Hast thou come to drive us out of our land with thy magic, O MosesFirauna ci ganGbani wyo bebe ebo wyo la yiyin yano tinoya dagan kin yan yi bo eya-ma-wyo yin Musa
He said Hast thou come to drive us out of our land with thy magic ,O MosesFirauna ci ganGbani wyo bebe ebo wyo la yiyin yano tinoya dagan kin yan yi bo eya-ma-wyo yin Musa
 But we can surely produce magic to match thine! So make a tryst between us and thee which we shall not fail to keep - neither we nor thou - in a place where both shall have even chances,To hakika yi maa be yao be eyan-mae iriu yin ebo acino a efomusanmaman laa cic tsakani yibo be wyo yin yimaa leu baa to wyotso maaleu baa umau yi danna na -- yin na
 Moses said Your tryst is the Day of the Festival and let the people be assembled when the sun is well up,Musa ci ganEfo na mi lacici ya ye na uga yi efo ninpa Iidi ye yeo zawangizhi maa laa guna yekan kpata be yi-sakagi
 So Pharaoh withdrew He concerted his plan and then came back,Firauna cia zunma zheta ucia tanadi uzhi kpata ku yekan gancin aci dabe banaa la shi yan gun-gun na
Moses said to him Woe to you! Forge not ye a lie against Allah lest He destroy you at once utterly by chastisement the forger must suffer frustration!,Musa ci gana gan Takaici! Ega tswa ganmana ta Soko ma kacana Ugae jin hallaka be azabae hakika ma zandondo nagae tswa ganmana ta Soko na wyuna zun-ya
So they disputed one with another over their affair but they kept their talk secret,Aci gbo mi be dozhi mini alamaria bo acia eza baa zhi swo
 They said These two are certainly expert magicians their object is to drive you out from your land with their magic and to do away with your most cherished institutions,Aci ganHakika za gubaaba nana zhi Musa be Harunae eyan-ma cizhi ayio e wa-wa gan ala ye yea yana tinaya dagan kin-mi yebo be eyan-maa yin acia la eyan wangi-wangi yezhia kua
Therefore concert your plan and then assemble in serried ranks He wins all along today who gains the upper hand,Ebo acino yea tanadiezhi ku yekan ye vie tineyae be safu-safu hakika zana gaade galaba yin-na na gaade elstu
They said O Moses! whether wilt thou that thou throw first or that we be the first to throwAci gan ,Wyoe Musa! Ko wyo ka-yn-ce ko ma YiI la-yca yn-ce be dzo
 He said Nay throw ye first! Then behold their ropes and their rods-so it seemed to him on account of their magic - began to be in lively motion!,UganAa yedea ce be dzo gancin acia egbanazhi to tsukunazhi ce zhizhi acie sana fia eyeo mini eyanmaabo ke wyoegangan ewa nae dazan nao
 So Moses conceived in his mind a sort of fear,Musa cia ya edan-yn wo dan mini yangbanu bo
We said Fear not! for thou hast indeed the upper hand,Yici ganGa sundan ma hakika wyo ga wun zankpeo
 Throw that which is in thy right hand Quickly will it swallow up that which they have faked what they have faked is but a magician´s trick and the magician thrives not no matter where he goes,Wyo mao la yanna dan gwaalo wyo bo nao ceo cici u ga yannazhi a san kpata na ku yin Hakika yannazhi a san kpata na tanadi eyan macizhio eyan-maci maatso guria bandondo na uga lo na
 So the magicians were thrown down to prostration they said We believe in the Lord of Aaron and Moses,Gancin eyan-maci zhi kpata cia nikin zhi kinbo a daa sujada aci ganYi yia imani jin be Tsoci yan Haruna be Musae
Pharaoh said Believe ye in Him before I give you permission Surely this must be your leader who has taught you magic! be sure I will cut off your hands and feet on opposite sides and I will have you crucified on trunks of palm-trees so shall ye know for certain which of us can give the more severe and the more lasting punishment!,Firauna ci ganYea imani jin beuyin tun mi laa ya ye izinia Hakika wyun ga yinunsa ye na wu ye eyan ma nao Hakika migae egwazhi to bici yezhi ko ya dan dozhi egwa gwalo be bici gwaapiny hakika mima gae fo-sa dan mini cigban dobinao hakika ye tso maa kpe zii mini yi bo na azabau ta gan uma gboka gan nao
 They said Never shall we regard thee as more than the Clear Signs that have come to us or than Him Who created us! so decree whatever thou desirest to decree for thou canst only decree touching the life of this worldAgan,Hakika yi ga wa wyoe a wyo laata eti aya gbangbazhi nazhi be yayi naa Yi zhi kuti be Etsu na ca jin-jin alitta yi nae hukunci ndondo nao gade cia jin eti yibo na ajin hakika hukuncio kpata izhe nana gabo wyoajinu kano
 For us we have believed in our Lord may He forgive us our faults and the magic to which thou didst compel us for Allah is Best and Most AbidingHakika yia imani jin be Tsoci Yi jin ebo ma wyunu fa be yi yin yan bicicin yizhito yan eyan-ma na wyo jin yi kpa a ci da jinna Soko ga ma wun egagba alherio egagbaU gama yi yan danbo dano,
Verily he who comes to his Lord as a sinner at Judgment- for him is Hell therein shall he neither die nor live,Hakika zandondo naga be eba Tsociu uma yi lefi jinci na to hakika jahannama gaajin tabbata yau wyuna tsu gun boa umaade rayia
But such as come to Him as Believers who have worked righteous deeds- for them are ranks exalted-,Zana ma ga be eba Tsociu umayi mumini na lotun wangi-wangizhi na zawuncinzhiade egagba yan daraja nazhi latuna
 Gardens of Eternity beneath which flow rivers they will dwell therein for aye such is the reward of those who purify themselves from evilAljannazhi ayio yan danboda na amaafi bofi tutun yin wuncin gayi egagba yan zana gaali ke lefi lugwa nao,
 We sent an inspiration to Moses Travel by night with My servants and strike a dry path for them through the sea without fear of being overtaken by Pharaoh and without any other fear,Hakika ma Yijin wahayi fi Musa kede A wuzhi mi zhi ku tinya dan ezan yeshio wyo mao la ekoosaoyaa dan mini eduo eko na yi wiwocina Wyo mao ga sundan gan ko Firauna ga ye tso ma ye mae ga sundan kikya gun nuwano ma
 Then Pharaoh pursued them with his forces but the waters completely overwhelmed them and covered them up,Gancin Firauna cia mi tua be ekungunciuzhi nuwan yan edu cia rukpea baenio\
